Filename,Average matched points,Average distance,Average process time (μs),Size
IMAGE 2020-10-04 22:12:22.jpg,0.170000,0.163886,444224,960x1280
IMAGE 2020-10-04 22:12:36.jpg,0.000000,0.193056,322884,1280x960
IMAGE 2020-10-04 21:05:26.jpg,0.000000,0.175338,1393702,1280x960
IMAGE 2020-10-05 18:37:19.jpg,0.000000,0.154042,561462,960x1280
IMAGE 2020-10-05 18:43:29.jpg,0.829268,0.156674,1181863,960x1280
IMAGE 2020-10-05 18:44:20.jpg,0.537037,0.158440,710820,1280x960
IMAGE 2020-10-05 18:37:30.jpg,0.000000,0.171133,1168462,960x1280
IMAGE 2020-10-05 18:37:18.jpg,0.000000,0.160941,537529,960x1280
IMAGE 2020-10-05 18:53:05.jpg,0.801932,0.152457,734343,1280x960
IMAGE 2020-10-04 22:11:58.jpg,0.000000,0.170247,237409,1280x960
IMAGE 2020-10-05 19:06:59.jpg,0.000000,0.136601,863395,960x1280
IMAGE 2020-10-04 22:12:35.jpg,0.073529,0.192745,441684,1280x960
IMAGE 2020-10-04 22:12:09.jpg,0.274390,0.175341,333634,1280x960
IMAGE 2020-10-04 21:05:31.jpg,0.537037,0.168143,543957,1280x960
IMAGE 2020-10-05 18:42:42.jpg,0.000000,0.176289,865014,1280x960
IMAGE 2020-10-05 18:37:26.jpg,0.000000,0.173041,1157180,960x1280
IMAGE 2020-10-05 18:44:23.jpg,0.421053,0.161823,520980,1280x960
IMAGE 2020-10-05 18:44:22.jpg,0.539474,0.160303,553104,1280x960
IMAGE 2020-10-05 18:37:33.jpg,0.814607,0.159410,656372,1280x960
IMAGE 2020-10-04 21:05:24.jpg,0.000000,0.164485,405761,1280x960
IMAGE 2020-10-04 22:12:08.jpg,0.182927,0.157672,296526,1280x960
IMAGE 2020-10-04 22:12:20.jpg,0.455446,0.175634,386932,960x1280
IMAGE 2020-10-04 21:05:18.jpg,0.470588,0.166309,566291,1280x960
IMAGE 2020-10-04 22:12:18.jpg,0.148936,0.175994,524194,960x1280
IMAGE 2020-10-04 22:12:24.jpg,0.000000,0.158613,414692,960x1280
IMAGE 2020-10-04 21:05:08.jpg,0.675676,0.177396,388252,1280x960
IMAGE 2020-10-05 18:37:37.jpg,0.747619,0.160114,458760,960x1280
IMAGE 2020-10-05 18:37:23.jpg,0.000000,0.164346,598311,960x1280
IMAGE 2020-10-05 18:53:03.jpg,0.655844,0.170243,687010,1280x960
IMAGE 2020-10-04 21:57:29.jpg,0.000000,0.163747,301935,1280x960
IMAGE 2020-10-04 22:12:31.jpg,0.234043,0.198916,351510,1280x960
IMAGE 2020-10-04 21:05:21.jpg,0.447619,0.159088,473902,1280x960
IMAGE 2020-10-05 18:52:57.jpg,0.780000,0.147155,674924,1280x960
IMAGE 2020-10-05 19:06:49.jpg,0.000000,0.160772,495587,960x1280
origin0.jpg,0.708738,0.188929,343907,848x1280
origin2.jpg,1.000000,0.151334,695920,1280x808
IMAGE 2020-10-04 22:12:33.jpg,0.015957,0.165727,376300,1280x960
IMAGE 2020-10-05 18:44:25.jpg,0.669903,0.153365,941700,1280x960
IMAGE 2020-10-05 18:37:35.jpg,0.010989,0.157218,684059,960x1280
IMAGE 2020-10-05 18:37:21.jpg,0.163043,0.146953,546774,960x1280
IMAGE 2020-10-04 21:05:22.jpg,0.829268,0.170504,332530,1280x960
IMAGE 2020-10-04 20:35:52.jpg,0.020408,0.163375,346904,960x1280
IMAGE 2020-10-04 21:57:59.jpg,0.779817,0.166627,413633,1280x960
IMAGE 2020-10-05 18:42:36.jpg,0.131579,0.179745,1048654,1280x960
IMAGE 2020-10-05 18:45:03.jpg,0.585106,0.154201,962942,1280x960
IMAGE 2020-10-05 18:39:57.jpg,0.044118,0.180466,654273,1280x960
IMAGE 2020-10-05 18:44:57.jpg,0.919679,0.122981,1001002,1280x960
IMAGE 2020-10-04 20:24:16.jpg,0.551948,0.192683,296136,960x1280
IMAGE 2020-10-05 18:37:47.jpg,0.000000,0.166065,537778,960x1280
IMAGE 2020-10-05 18:39:42.jpg,0.304348,0.174080,975764,1280x960
IMAGE 2020-10-05 19:05:55.jpg,0.000000,0.167879,402096,1280x960
IMAGE 2020-10-04 21:05:44.jpg,0.274725,0.164965,654713,1280x960
IMAGE 2020-10-04 22:12:40.jpg,0.000000,0.188975,437492,1280x960
IMAGE 2020-10-05 18:52:26.jpg,0.000000,0.146391,754999,1280x960
IMAGE 2020-10-04 20:35:47.jpg,0.000000,0.199595,356857,1280x960
IMAGE 2020-10-05 18:52:30.jpg,0.000000,0.148909,983449,1280x960
IMAGE 2020-10-04 20:35:45.jpg,0.000000,0.170885,476639,1280x960
IMAGE 2020-10-05 18:52:24.jpg,0.000000,0.149894,1061930,1280x960
IMAGE 2020-10-05 19:06:06.jpg,0.384615,0.173004,463991,960x1280
IMAGE 2020-10-05 18:42:21.jpg,0.000000,0.157020,922701,1280x960
IMAGE 2020-10-05 18:42:35.jpg,0.000000,0.208289,970372,1280x960
IMAGE 2020-10-05 19:05:57.jpg,0.000000,0.189634,351762,960x1280
IMAGE 2020-10-05 18:42:09.jpg,0.682243,0.153305,853529,1280x960
IMAGE 2020-10-05 18:40:18.jpg,0.404494,0.150724,1081708,1280x960
IMAGE 2020-10-05 18:39:54.jpg,0.000000,0.149556,1298955,1280x960
IMAGE 2020-10-04 20:24:28.jpg,0.117647,0.177815,1109504,1280x960
IMAGE 2020-10-04 20:24:14.jpg,0.888325,0.159956,566823,960x1280
IMAGE 2020-10-05 18:50:08.jpg,0.000000,0.183132,1215444,1280x960
IMAGE 2020-10-05 18:44:55.jpg,0.795276,0.144557,1271264,1280x960
IMAGE 2020-10-05 18:45:01.jpg,0.160377,0.143243,1163635,1280x960
IMAGE 2020-10-05 18:52:19.jpg,0.495238,0.171054,850587,1280x960
IMAGE 2020-10-04 20:35:50.jpg,0.000000,0.189991,430788,960x1280
IMAGE 2020-10-05 19:06:03.jpg,0.000000,0.170382,463204,960x1280
IMAGE 2020-10-04 20:35:54.jpg,0.000000,0.195651,283668,960x1280
IMAGE 2020-10-04 20:35:40.jpg,0.610000,0.169375,413632,1280x960
IMAGE 2020-10-04 21:05:43.jpg,0.449541,0.171135,353669,1280x960
IMAGE 2020-10-05 18:42:18.jpg,0.164706,0.142869,766861,1280x960
IMAGE 2020-10-04 20:36:11.jpg,0.000000,0.170894,513856,1280x960
IMAGE 2020-10-04 19:45:49.jpg,0.000000,0.137552,627085,1280x960
IMAGE 2020-10-05 18:42:24.jpg,0.000000,0.176116,645263,1280x960
IMAGE 2020-10-05 18:42:30.jpg,0.000000,0.166548,1245582,960x1280
IMAGE 2020-10-05 18:37:40.jpg,0.886364,0.187919,500710,960x1280
IMAGE 2020-10-04 20:24:10.jpg,0.647482,0.181254,402558,1280x960
IMAGE 2020-10-05 18:39:50.jpg,0.481481,0.178473,725482,1280x960
IMAGE 2020-10-05 18:39:44.jpg,0.000000,0.165120,569139,1280x960
IMAGE 2020-10-05 18:37:41.jpg,0.000000,0.127625,369549,960x1280
IMAGE 2020-10-05 18:40:20.jpg,0.822222,0.172519,1169876,1280x960
IMAGE 2020-10-05 19:05:53.jpg,0.290598,0.155534,311586,1280x960
IMAGE 2020-10-05 18:52:20.jpg,0.619403,0.164820,690567,1280x960
IMAGE 2020-10-04 20:35:57.jpg,0.000000,0.232628,230318,960x1280
IMAGE 2020-10-05 18:45:06.jpg,0.000000,0.139201,921499,1280x960
IMAGE 2020-10-05 18:42:33.jpg,0.000000,0.160874,1018043,960x1280
IMAGE 2020-10-05 18:40:22.jpg,0.000000,0.180540,690144,1280x960
IMAGE 2020-10-05 18:39:52.jpg,0.709302,0.182588,608545,1280x960
IMAGE 2020-10-05 18:39:46.jpg,0.517730,0.177228,513363,1280x960
IMAGE 2020-10-04 20:24:12.jpg,0.946619,0.152542,526475,1280x960
IMAGE 2020-10-05 18:42:26.jpg,0.352273,0.184989,580643,1280x960
IMAGE 2020-10-04 20:36:13.jpg,0.000000,0.184779,542187,1280x960
IMAGE 2020-10-04 20:35:42.jpg,0.642202,0.165193,431810,1280x960
IMAGE 2020-10-05 19:06:01.jpg,0.000000,0.171780,382871,960x1280
IMAGE 2020-10-04 19:45:46.jpg,0.000000,0.137294,646695,1280x960
IMAGE 2020-10-05 18:40:12.jpg,0.000000,0.164632,446456,1280x960
IMAGE 2020-10-05 18:40:06.jpg,0.000000,0.165083,720570,1280x960
IMAGE 2020-10-04 20:16:47.jpg,0.024390,0.192400,518474,1280x960
IMAGE 2020-10-04 20:24:22.jpg,0.728972,0.195637,245034,960x1280
IMAGE 2020-10-04 21:58:00.jpg,0.750000,0.178338,335193,1280x960
IMAGE 2020-10-05 18:40:07.jpg,0.000000,0.155665,867916,1280x960
IMAGE 2020-10-05 18:42:16.jpg,0.011111,0.151086,698772,1280x960
IMAGE 2020-10-04 21:57:51.jpg,0.970414,0.164479,447502,1280x960
IMAGE 2020-10-05 18:52:13.jpg,0.000000,0.145393,1006297,1280x960
IMAGE 2020-10-04 21:57:53.jpg,0.000000,0.160807,309590,1280x960
IMAGE 2020-10-05 18:45:09.jpg,0.241379,0.130607,881426,1280x960
IMAGE 2020-10-05 18:42:28.jpg,0.000000,0.130049,1312334,1280x960
